name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"PROVENCE 4 BIOMASSE",,,,,FR,150,"Biomass and biogas",,,2018,,,,17W100P100P03647,"Renewable energy",Bioenergy,"Biomass and biogas",,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
AMFARD14,,,,,FR,130,"Natural gas",,,2004,,,,17W100P100P0353C,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
AMFARD15,,,,,FR,130,"Natural gas",,,2004,,,,17W100P100P03493,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"BLENOD 5",,,,,FR,427,"Natural gas",,,,,48.86959,6.08377,17W100P100P0243J,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"BOUCHAIN 7",,,,,FR,585,"Natural gas",,,2017,,50.29774,3.31429,17W100P100P0244H,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
COMBIGOLFE,,,,,FR,425,"Natural gas",,,2010,,43.41616,4.86974,17W100P100P0337A,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
CYCOFOS,,,,,FR,428,"Natural gas",,,2009,,43.42801,4.88652,17W100P100P0351G,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
Croix-de-Metz,,,,,FR,413,"Natural gas",,,2019,,48.69336,5.91468,17W100P100P0340L,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
DK6,,,,,FR,796,"Natural gas",,,2005,,51.04628,2.31835,17W100P100P0350I,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"EMILE HUCHET 7",,,,,FR,413,"Natural gas",,,2010,,49.15412,6.7047,17W100P100P0344D,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"EMILE HUCHET 8",,,,,FR,413,"Natural gas",,,2010,,49.15412,6.7047,17W100P100P0345B,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
FR-GA-MORANT1,,,,,FR,401,"Natural gas",,,2016,,46.27282,3.30095,17W100P100P0318E,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
